label,message,label_encoded,clean_message
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
ham,Ok lar... Joking wif u oni...,0,ok lar joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry questionstd txt ratetcs apply overs
ham,U dun say so early hor... U c already then say...,0,u dun say so early hor u c already then say
ham,"Nah I don't think he goes to usf, he lives around here though",0,nah i dont think he goes to usf he lives around here though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send to rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,even my brother is not like to speak with me they treat me like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply reply hl info
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,urgent you have won a week free membership in our prize jackpot txt the word claim to no tc lccltd pobox ldnwarw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,i have a date on sunday with will
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),0,oh kim watching here
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,eh u remember how spell his name yes i did he v naughty make until i v wet
ham,Fine if thats the way u feel. Thats the way its gota b,0,fine if thats the way u feel thats the way its gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txt poboxoxwwq
ham,Is that seriously how you spell his name?,0,is that seriously how you spell his name
ham,I‘m going to try for 2 months ha ha only joking,0,im going to try for months ha ha only joking
ham,So ü pay first lar... Then when is da stock comin...,0,so pay first lar then when is da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,ffffffffff alright no way i can meet up with you sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol
ham,Lol your always so convincing.,0,lol your always so convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,im back amp were packing the car now ill let you know if theres room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,ahhh work i vaguely remember that what does it feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you
ham,K tell me anything about you.,0,k tell me anything about you
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,for fear of fainting with the of all that housework you just did quick have a cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,thanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,yup ok i go home look at the timings then i msg again xuhui going to learn on nd may too but her lesson is at am
ham,"Oops, I'll let you know when my roommate's done",0,oops ill let you know when my roommates done
ham,I see the letter B on my car,0,i see the letter b on my car
ham,Anything lor... U decide...,0,anything lor u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,pls go ahead with watts i just wanted to be sure do have a great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow
ham,WHO ARE YOU SEEING?,0,who are you seeing
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,great i hope you like your man well endowed i am ltgt inches
ham,No calls..messages..missed calls,0,no callsmessagesmissed calls
ham,Didn't you get hep b immunisation in nigeria.,0,didnt you get hep b immunisation in nigeria
ham,"Fair enough, anything going on?",0,fair enough anything going on
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,yeah hopefully if tyler cant do it i could maybe ask around a bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers
ham,What you thinked about me. First time you saw me in class.,0,what you thinked about me first time you saw me in class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,do you know what mallika sherawat did yesterday find out now lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bxipwe pm dont miss out
ham,"Sorry, I'll call later in meeting.",0,sorry ill call later in meeting
ham,Tell where you reached,0,tell where you reached
ham,Yes..gauti and sehwag out of odi series.,0,yesgauti and sehwag out of odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,your gonna have to pick up a burger for yourself on your way home i cant even move pain is killing me
ham,Ha ha ha good joke. Girls are situation seekers.,0,ha ha ha good joke girls are situation seekers
ham,Its a part of checking IQ,0,its a part of checking iq
ham,"Sorry my roommates took forever, it ok if I come by now?",0,sorry my roommates took forever it ok if i come by now
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,did you hear about the new divorce barbie it comes with all of kens stuff
ham,I plane to give on this month end.,0,i plane to give on this month end
ham,Wah lucky man... Then can save money... Hee...,0,wah lucky man then can save money hee
ham,Finished class where are you.,0,finished class where are you
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,hi babe im at home now wanna do something xx
ham,K..k:)where are you?how did you performed?,0,kkwhere are youhow did you performed
ham,U can call me now...,0,u can call me now
ham,I am waiting machan. Call me once you free.,0,i am waiting machan call me once you free
