word,ham_freq,spam_freq
back,127,0
box,0,51
call,192,322
cash,0,65
claim,0,96
co,0,43
com,0,51
come,215,0
contact,0,51
da,142,0
day,191,0
dont,127,0
free,0,197
get,301,71
go,248,0
going,164,0
good,217,0
got,228,0
gt,288,0
home,156,0
know,226,0
like,224,0
lor,159,0
love,186,0
lt,287,0
mobile,0,111
msg,0,52
need,155,0
new,0,64
nokia,0,59
ok,256,0
one,159,0
phone,0,44
please,0,50
prize,0,82
reply,0,96
see,136,0
send,0,60
service,0,49
sorry,122,0
still,146,0
stop,0,116
take,121,0
text,0,109
think,126,0
time,193,0
today,127,0
tone,0,45
txt,0,141
uk,0,60
ur,203,119
urgent,0,58
want,162,0
week,0,46
win,0,56
won,0,61
www,0,83
