label,message,label_encoded,clean_message,tokens_text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,Ok lar... Joking wif u oni...,0,ok lar joking wif u oni,ok lar joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry questionstd txt ratetcs apply overs,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
ham,U dun say so early hor... U c already then say...,0,u dun say so early hor u c already then say,u dun say early hor u c already say
ham,"Nah I don't think he goes to usf, he lives around here though",0,nah i dont think he goes to usf he lives around here though,nah dont think goes usf lives around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send to rcv,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,even my brother is not like to speak with me they treat me like aids patent,even brother like speak treat like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,winner valued network customer selected receivea prize reward claim call claim code kl valid hours
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,mobile months u r entitled update latest colour mobiles camera free call mobile update co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply reply hl info,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,urgent you have won a week free membership in our prize jackpot txt the word claim to no tc lccltd pobox ldnwarw,urgent week free membership prize jackpot txt word claim tc lccltd pobox ldnwarw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,i have a date on sunday with will,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclubcomnqjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),0,oh kim watching here,oh kim watching
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,eh u remember how spell his name yes i did he v naughty make until i v wet,eh u remember spell name yes v naughty make v wet
ham,Fine if thats the way u feel. Thats the way its gota b,0,fine if thats the way u feel thats the way its gota b,fine thats way u feel thats way gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txt poboxoxwwq,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txt poboxoxwwq
ham,Is that seriously how you spell his name?,0,is that seriously how you spell his name,seriously spell name
ham,I‘m going to try for 2 months ha ha only joking,0,im going to try for months ha ha only joking,im going try months ha ha joking
ham,So ü pay first lar... Then when is da stock comin...,0,so pay first lar then when is da stock comin,pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,aft finish lunch go str lor ard smth lor u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,ffffffffff alright no way i can meet up with you sooner,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
